Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0603_1608Metric",157.812500,-63.600000,0.000000,top
"C3","470uF","CP_Elec_10x7.9",154.600000,-116.900000,180.000000,top
"C4","100nF","C_0603_1608Metric",158.012500,-78.900000,0.000000,top
"C5","100nF","C_0603_1608Metric",161.200000,-114.000000,90.000000,top
"C7","100nF","C_0603_1608Metric",161.200000,-96.587500,270.000000,top
"C8","10uF","C_0805_2012Metric",165.863200,-81.675900,270.000000,top
"C9","100nF","C_0603_1608Metric",168.063200,-81.550900,270.000000,top
"C10","100nF","C_0603_1608Metric",168.190800,-77.628700,90.000000,top
"C11","10uF","C_0805_2012Metric",166.290800,-77.478700,90.000000,top
"C12","10uF","CP_Elec_6.3x5.3",211.272120,-100.284280,270.000000,top
"C13","1uF","CP_Elec_3x5.4",211.375120,-107.269280,180.000000,top
"C14","1uF","CP_Elec_3x5.4",211.375120,-111.196120,180.000000,top
"C15","100nF","C_0402_1005Metric",215.392000,-97.165160,270.000000,top
"C16","10uF","CP_Elec_6.3x5.3",213.741000,-86.360000,0.000000,top
"C17","100nF","C_0402_1005Metric",218.414600,-88.356440,0.000000,top
"C18","100nF","C_0402_1005Metric",218.699080,-101.020880,0.000000,top
"C19","10uF","CP_Elec_6.3x5.3",219.745560,-105.196640,0.000000,top
"C20","220uF","CP_Elec_6.3x5.4",196.773800,-97.236280,180.000000,top
"C21","220uF","CP_Elec_6.3x5.4",196.809360,-108.371640,180.000000,top
"C22","100nF","C_0402_1005Metric",229.133400,-101.051360,180.000000,top
"C23","10uF","CP_Elec_6.3x5.3",229.570280,-105.196640,180.000000,top
"C24","1uF","C_0805_2012Metric",210.840320,-79.743060,90.000000,top
"C25","10uF","C_0805_2012Metric",217.053160,-79.555100,270.000000,top
"C26","1uF","CP_Elec_3x5.4",241.808000,-72.988300,90.000000,top
"C27","220pF","C_0603_1608Metric",241.340500,-67.030600,0.000000,top
"C28","220pF","C_0603_1608Metric",234.937200,-85.661500,180.000000,top
"C29","220pF","C_0603_1608Metric",231.597100,-85.686900,0.000000,top
"C30","10uF","C_0805_2012Metric",129.062500,-110.200000,0.000000,top
"C31","100nF","C_0603_1608Metric",132.487500,-110.400000,180.000000,top
"C32","470uF","CP_Elec_10x7.9",154.800000,-93.400000,180.000000,top
